prov;muni;namuni;surname;number;population;ni;pki
15;15044;Ma?n;FERNANDEZ;60;677;25;0.088626292
15;15044;Ma?n;MARTINEZ;66;677;25;0.097488922
15;15044;Ma?n;RODRIGUEZ;52;677;25;0.076809453
15;15044;Ma?n;LOPEZ;46;677;25;0.067946824
15;15044;Ma?n;GOMEZ;47;677;25;0.069423929
15;15044;Ma?n;GONZALEZ;48;677;25;0.070901034
15;15044;Ma?n;NOVO;26;677;25;0.038404727
15;15044;Ma?n;REGO;23;677;25;0.033973412
15;15044;Ma?n;PEREZ;23;677;25;0.033973412
15;15044;Ma?n;RIVERA;32;677;25;0.047267356
15;15044;Ma?n;GARCIA;20;677;25;0.029542097
15;15044;Ma?n;DIAZ;27;677;25;0.039881832
15;15044;Ma?n;GALDO;16;677;25;0.023633678
15;15044;Ma?n;ALVAREZ;23;677;25;0.033973412
15;15044;Ma?n;REY;22;677;25;0.032496307
15;15044;Ma?n;CASAS;18;677;25;0.026587888
15;15044;Ma?n;BLANCO;17;677;25;0.025110783
15;15044;Ma?n;LAMELAS;15;677;25;0.022156573
15;15044;Ma?n;PENA;20;677;25;0.029542097
15;15044;Ma?n;MURIAS;18;677;25;0.026587888
15;15044;Ma?n;PRIETO;8;677;25;0.011816839
15;15044;Ma?n;CASTRO;14;677;25;0.020679468
15;15044;Ma?n;SOTO;11;677;25;0.016248154
15;15044;Ma?n;IGLESIAS;15;677;25;0.022156573
15;15044;Ma?n;BOUZA;10;677;25;0.014771049
15;15061;Ortigueira;MARTINEZ;330;2594;25;0.127216654
15;15061;Ortigueira;FERNANDEZ;236;2594;25;0.090979183
15;15061;Ortigueira;LOPEZ;230;2594;25;0.088666153
15;15061;Ortigueira;GOMEZ;193;2594;25;0.074402467
15;15061;Ortigueira;RODRIGUEZ;155;2594;25;0.059753277
15;15061;Ortigueira;PEREZ;139;2594;25;0.053585197
15;15061;Ortigueira;CASTRO;103;2594;25;0.039707016
15;15061;Ortigueira;GARCIA;84;2594;25;0.032382421
15;15061;Ortigueira;FUSTES;82;2594;25;0.031611411
15;15061;Ortigueira;GALDO;70;2594;25;0.026985351
15;15061;Ortigueira;DIAZ;74;2594;25;0.028527371
15;15061;Ortigueira;PITA;72;2594;25;0.027756361
15;15061;Ortigueira;REGO;71;2594;25;0.027370856
15;15061;Ortigueira;LAGE;55;2594;25;0.021202776
15;15061;Ortigueira;IGLESIAS;73;2594;25;0.028141866
15;15061;Ortigueira;PI?ON;78;2594;25;0.030069391
